epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8864259123802185,0.0010000000474974513,0.3654542565345764,0.2711666524410248,3.6416454315185547
1,0.9704814553260803,0.0010000000474974513,0.09578756988048553,0.9848333597183228,0.04989824816584587
2,0.9778333306312561,0.0010000000474974513,0.07342877984046936,0.9891666769981384,0.03311265632510185
3,0.9815370440483093,0.0010000000474974513,0.06106801703572273,0.9894999861717224,0.03719237819314003
4,0.9840370416641235,0.0010000000474974513,0.052285585552453995,0.9894999861717224,0.03192752227187157
5,0.9852036833763123,0.0010000000474974513,0.048205260187387466,0.9900000095367432,0.03187698498368263
6,0.9858518242835999,0.0010000000474974513,0.046897467225790024,0.9901666641235352,0.031312040984630585
7,0.9868518710136414,0.0010000000474974513,0.0429244190454483,0.9893333315849304,0.03355681523680687
8,0.9883888959884644,0.0010000000474974513,0.03807185962796211,0.9908333420753479,0.02618083730340004
9,0.9886296391487122,0.0010000000474974513,0.03737382963299751,0.9904999732971191,0.031085293740034103
10,0.9887222051620483,0.0010000000474974513,0.037310466170310974,0.9909999966621399,0.023046258836984634
11,0.9890925884246826,0.0010000000474974513,0.03556370362639427,0.9916666746139526,0.029801014810800552
12,0.9891666769981384,0.0010000000474974513,0.0355403907597065,0.9921666383743286,0.02344510890543461
13,0.9899259209632874,0.0010000000474974513,0.0319683663547039,0.9934999942779541,0.02012621983885765
14,0.9909999966621399,0.0010000000474974513,0.03068641945719719,0.9929999709129333,0.02313566766679287
15,0.990240752696991,0.0010000000474974513,0.030462980270385742,0.9891666769981384,0.03239135816693306
16,0.9907037019729614,0.0010000000474974513,0.029629729688167572,0.9931666851043701,0.023469360545277596
17,0.993148148059845,0.0005000000237487257,0.022991452366113663,0.9943333268165588,0.014278288930654526
18,0.994092583656311,0.0005000000237487257,0.019301697611808777,0.9956666827201843,0.01382428128272295
19,0.993481457233429,0.0005000000237487257,0.022037312388420105,0.9946666955947876,0.016549261286854744
20,0.9940184950828552,0.0005000000237487257,0.019835609942674637,0.9938333630561829,0.01577579788863659
21,0.9941111207008362,0.0005000000237487257,0.018969926983118057,0.9963333606719971,0.011392258107662201
22,0.9944999814033508,0.0005000000237487257,0.018200499936938286,0.9953333139419556,0.013281174935400486
23,0.9940184950828552,0.0005000000237487257,0.019092977046966553,0.9959999918937683,0.011029234156012535
24,0.9942407608032227,0.0005000000237487257,0.018407853320240974,0.9959999918937683,0.013122429139912128
25,0.9940555691719055,0.0005000000237487257,0.019731789827346802,0.9956666827201843,0.01178587693721056
26,0.9945555329322815,0.0005000000237487257,0.017608316615223885,0.9956666827201843,0.011851947754621506
27,0.9947222471237183,0.0002500000118743628,0.015861719846725464,0.9956666827201843,0.012175260111689568
28,0.9952222108840942,0.0002500000118743628,0.014673524536192417,0.9959999918937683,0.009227392263710499
29,0.9950370192527771,0.0002500000118743628,0.015355654992163181,0.9965000152587891,0.009158278815448284
